#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	eggNOG OGs	narr_og_name	narr_og_cat	narr_og_desc	best_og_name	best_og_cat	best_og_desc	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
DBPAGJON_00012	411470.RUMGNA_01519	9.7e-187	659.8	2CC51@1|root,2Z7IU@2|Bacteria,1TQNI@1239|Firmicutes,24DDD@186801|Clostridia,3XZP6@572511|Blautia	3XZP6@572511|Blautia	S	Psort location Cytoplasmic, score 8.87	24DDD@186801|Clostridia	S	PFAM conserved	-	-	-	-	-	-	-	-	-	-	-	-	DUF2397
DBPAGJON_00013	411470.RUMGNA_01520	1.3e-120	439.9	28HUD@1|root,2Z813@2|Bacteria,1TUFV@1239|Firmicutes,24A4P@186801|Clostridia,3Y1JX@572511|Blautia	3Y1JX@572511|Blautia	S	Psort location Cytoplasmic, score 8.87	24A4P@186801|Clostridia	S	PFAM conserved	-	-	-	-	-	-	-	-	-	-	-	-	DUF2398
DBPAGJON_00014	411470.RUMGNA_01521	0.0	1247.6	COG1196@1|root,COG1196@2|Bacteria,1TPW9@1239|Firmicutes,247V7@186801|Clostridia,3Y11R@572511|Blautia	3Y11R@572511|Blautia	D	Psort location Cytoplasmic, score 8.87	247V7@186801|Clostridia	D	Putative exonuclease SbcCD, C subunit	-	-	-	-	-	-	-	-	-	-	-	-	AAA_23,AAA_29,DUF2398,SbcCD_C
DBPAGJON_00015	411470.RUMGNA_01522	6.4e-89	334.7	COG4924@1|root,COG4924@2|Bacteria,1TRVG@1239|Firmicutes,24D0P@186801|Clostridia,3Y175@572511|Blautia	3Y175@572511|Blautia	S	COG NOG10831 non supervised orthologous group	24D0P@186801|Clostridia	S	Protein of unknown function N-terminus (DUF3323)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2220,DUF2399,DUF3323
DBPAGJON_00016	97139.C824_01585	5.2e-195	688.7	COG1112@1|root,COG1112@2|Bacteria,1TQCB@1239|Firmicutes,24E88@186801|Clostridia,36DXH@31979|Clostridiaceae	36DXH@31979|Clostridiaceae	L	AAA domain	24E88@186801|Clostridia	L	COG1112 Superfamily I DNA and RNA helicases and helicase subunits	-	-	-	-	-	-	-	-	-	-	-	-	AAA_11,AAA_12,AAA_19,PLDc_2,zf-C4_Topoisom
DBPAGJON_00019	397291.C804_04336	3.5e-69	269.2	COG0455@1|root,COG0455@2|Bacteria,1V3P8@1239|Firmicutes,251NA@186801|Clostridia	251NA@186801|Clostridia	D	bacterial-type flagellum organization	251NA@186801|Clostridia	D	bacterial-type flagellum organization	-	-	-	-	-	-	-	-	-	-	-	-	AAA_31,CbiA,VirC1
DBPAGJON_00020	397291.C804_04337	1.7e-90	340.1	COG1192@1|root,COG1192@2|Bacteria,1UJZ3@1239|Firmicutes,24UJ3@186801|Clostridia	24UJ3@186801|Clostridia	D	Involved in chromosome partitioning	24UJ3@186801|Clostridia	D	Involved in chromosome partitioning	-	-	-	-	-	-	-	-	-	-	-	-	-
DBPAGJON_00021	622312.ROSEINA2194_02040	1.2e-22	113.6	COG3279@1|root,COG3279@2|Bacteria,1VE30@1239|Firmicutes,24P4S@186801|Clostridia	24P4S@186801|Clostridia	KT	LytTr DNA-binding domain	24P4S@186801|Clostridia	KT	LytTr DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	LytTR,Response_reg
DBPAGJON_00023	411902.CLOBOL_05433	7e-53	213.8	COG0494@1|root,COG0494@2|Bacteria,1TR9R@1239|Firmicutes,24CTK@186801|Clostridia	24CTK@186801|Clostridia	L	NUDIX domain	24CTK@186801|Clostridia	L	NUDIX domain	-	-	3.6.1.13	ko:K01515	ko00230,map00230	-	R01054	RC00002	ko00000,ko00001,ko01000	-	-	-	Glyco_hydro_43,NUDIX
DBPAGJON_00024	411902.CLOBOL_05153	3.5e-41	175.3	COG1051@1|root,COG1051@2|Bacteria,1TST7@1239|Firmicutes,249C3@186801|Clostridia,220WQ@1506553|Lachnoclostridium	220WQ@1506553|Lachnoclostridium	F	NUDIX domain	249C3@186801|Clostridia	F	Belongs to the Nudix hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	NUDIX,Radical_SAM
DBPAGJON_00025	1280685.AUKC01000046_gene3001	4e-15	87.0	2E45D@1|root,32Z1F@2|Bacteria,1VEXR@1239|Firmicutes,24R89@186801|Clostridia,4C08J@830|Butyrivibrio	4C08J@830|Butyrivibrio	-	-	24R89@186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DBPAGJON_00026	742733.HMPREF9469_00162	1e-155	556.6	COG0534@1|root,COG0534@2|Bacteria,1TQMT@1239|Firmicutes,249WJ@186801|Clostridia,21XYA@1506553|Lachnoclostridium	21XYA@1506553|Lachnoclostridium	V	Psort location CytoplasmicMembrane, score 9.99	249WJ@186801|Clostridia	V	Mate efflux family protein	-	-	-	-	-	-	-	-	-	-	-	-	MVIN,MatE,Polysacc_synt_C
DBPAGJON_00027	457421.CBFG_02182	2.2e-208	731.9	COG1640@1|root,COG1640@2|Bacteria,1W5VQ@1239|Firmicutes,25E46@186801|Clostridia,267RJ@186813|unclassified Clostridiales	267RJ@186813|unclassified Clostridiales	G	4-alpha-glucanotransferase	25E46@186801|Clostridia	G	4-alpha-glucanotransferase	-	-	2.4.1.25	ko:K00705	ko00500,ko01100,map00500,map01100	-	R05196	RC00049	ko00000,ko00001,ko01000	-	GH77	-	Glyco_hydro_77
DBPAGJON_00028	1298920.KI911353_gene4389	2.5e-37	162.5	2E26Y@1|root,32XDA@2|Bacteria,1VBIB@1239|Firmicutes,24A47@186801|Clostridia,21YGS@1506553|Lachnoclostridium	21YGS@1506553|Lachnoclostridium	-	-	24A47@186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sigma70_r4_2
DBPAGJON_00029	1304866.K413DRAFT_0352	1.1e-50	206.5	COG0317@1|root,COG0317@2|Bacteria,1VAH0@1239|Firmicutes,24MVX@186801|Clostridia,36JIN@31979|Clostridiaceae	36JIN@31979|Clostridiaceae	KT	HD domain	24MVX@186801|Clostridia	KT	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	APH,Acetyltransf_1,Acetyltransf_10,Acetyltransf_7,HD,HD_4,Haem_degrading,SseB
DBPAGJON_00030	742733.HMPREF9469_00253	2.3e-18	99.8	COG4932@1|root,COG4932@2|Bacteria,1TRG6@1239|Firmicutes,2492K@186801|Clostridia,21YFE@1506553|Lachnoclostridium	21YFE@1506553|Lachnoclostridium	M	Psort location Cellwall, score	2492K@186801|Clostridia	M	Psort location Cellwall, score	-	-	-	-	-	-	-	-	-	-	-	-	Cna_B,Collagen_bind,Sortase
DBPAGJON_00031	1163671.JAGI01000002_gene3585	1.4e-300	1038.9	COG0474@1|root,COG0474@2|Bacteria,1TPF5@1239|Firmicutes,247JN@186801|Clostridia,36R2H@31979|Clostridiaceae	36R2H@31979|Clostridiaceae	P	Cation transporter/ATPase, N-terminus	247JN@186801|Clostridia	P	ATPase, P-type (transporting), HAD superfamily, subfamily IC	-	-	3.6.3.8	ko:K01537	-	-	-	-	ko00000,ko01000	3.A.3.2	-	-	Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,HAD,Hydrolase,Hydrolase_3
DBPAGJON_00032	33035.JPJF01000016_gene4086	0.0	1330.5	COG1882@1|root,COG1882@2|Bacteria,1TPTF@1239|Firmicutes,247YY@186801|Clostridia,3XZ2A@572511|Blautia	3XZ2A@572511|Blautia	C	Psort location Cytoplasmic, score 9.98	247YY@186801|Clostridia	C	Glycine radical	pflB	-	2.3.1.54	ko:K00656	ko00620,ko00640,ko00650,ko01100,ko01120,map00620,map00640,map00650,map01100,map01120	-	R00212,R06987	RC00004,RC01181,RC02742,RC02833	ko00000,ko00001,ko01000	-	-	-	Gly_radical,PFL-like
DBPAGJON_00033	877414.ATWA01000031_gene1234	7.8e-100	370.2	COG1180@1|root,COG1180@2|Bacteria,1TPK2@1239|Firmicutes,247NA@186801|Clostridia,2693M@186813|unclassified Clostridiales	2693M@186813|unclassified Clostridiales	C	Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine	247NA@186801|Clostridia	C	Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine	pflA	-	1.97.1.4	ko:K04069	-	-	R04710	-	ko00000,ko01000	-	-	-	Fer4_12,Fer4_14,Radical_SAM
DBPAGJON_00034	742735.HMPREF9467_01916	7.8e-14	84.7	COG0583@1|root,COG0583@2|Bacteria,1VVYV@1239|Firmicutes,2518C@186801|Clostridia	2518C@186801|Clostridia	K	LysR substrate binding domain	2518C@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00035	1408311.JNJM01000006_gene1469	2.1e-28	133.3	COG0583@1|root,COG0583@2|Bacteria,1UXP7@1239|Firmicutes,24ZN2@186801|Clostridia,2PT6D@265975|Oribacterium	2PT6D@265975|Oribacterium	K	LysR substrate binding domain	24ZN2@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00036	742733.HMPREF9469_01085	2e-95	356.3	COG1055@1|root,COG1055@2|Bacteria,1UKAR@1239|Firmicutes,25FT9@186801|Clostridia,2248Q@1506553|Lachnoclostridium	2248Q@1506553|Lachnoclostridium	P	Sodium:sulfate symporter transmembrane region	25FT9@186801|Clostridia	P	Citrate transporter	-	-	-	-	-	-	-	-	-	-	-	-	CitMHS,DctM,DcuC,Na_H_antiporter,Na_sulph_symp
DBPAGJON_00037	742735.HMPREF9467_01922	4.3e-52	211.8	COG0657@1|root,COG0657@2|Bacteria,1TQHX@1239|Firmicutes,249GM@186801|Clostridia,2231V@1506553|Lachnoclostridium	2231V@1506553|Lachnoclostridium	I	alpha/beta hydrolase fold	249GM@186801|Clostridia	I	Hydrolase, alpha beta domain protein	-	-	-	ko:K01066	-	-	-	-	ko00000,ko01000	-	-	-	Abhydrolase_3,Abhydrolase_5,COesterase,DUF2424,Peptidase_S9,Say1_Mug180
DBPAGJON_00038	689781.AUJX01000030_gene71	2.3e-45	189.5	COG0657@1|root,COG0657@2|Bacteria,1TQHX@1239|Firmicutes,249GM@186801|Clostridia,2PS5V@265975|Oribacterium	2PS5V@265975|Oribacterium	I	alpha/beta hydrolase fold	249GM@186801|Clostridia	I	Hydrolase, alpha beta domain protein	-	-	-	ko:K01066	-	-	-	-	ko00000,ko01000	-	-	-	Abhydrolase_3,Abhydrolase_5,COesterase,DUF2424,Peptidase_S9,Say1_Mug180
DBPAGJON_00039	411462.DORLON_02529	6.6e-112	410.2	COG0363@1|root,COG0363@2|Bacteria,1TP10@1239|Firmicutes,248HK@186801|Clostridia,27WCG@189330|Dorea	27WCG@189330|Dorea	G	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion	248HK@186801|Clostridia	G	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion	nagB	-	3.5.99.6	ko:K02564	ko00520,ko01100,map00520,map01100	-	R00765	RC00163	ko00000,ko00001,ko01000	-	-	-	Glucosamine_iso
DBPAGJON_00040	411462.DORLON_02536	6e-148	530.8	COG1820@1|root,COG1820@2|Bacteria,1TPFK@1239|Firmicutes,2481N@186801|Clostridia,27V5W@189330|Dorea	27V5W@189330|Dorea	G	Amidohydrolase family	2481N@186801|Clostridia	G	Belongs to the metallo-dependent hydrolases superfamily. NagA family	nagA	-	3.5.1.25	ko:K01443	ko00520,ko01130,map00520,map01130	-	R02059	RC00166,RC00300	ko00000,ko00001,ko01000	-	-	-	Amidohydro_1,Amidohydro_3
DBPAGJON_00041	742733.HMPREF9469_03704	8.8e-198	696.4	COG2610@1|root,COG2610@2|Bacteria,1TQ14@1239|Firmicutes,248PQ@186801|Clostridia,21ZC1@1506553|Lachnoclostridium	21ZC1@1506553|Lachnoclostridium	EG	COG COG2610 H gluconate symporter and related permeases	248PQ@186801|Clostridia	EG	Gluconate	gntP	-	-	ko:K03299	-	-	-	-	ko00000,ko02000	2.A.8	-	-	CitMHS,DctM,GntP_permease,Na_H_antiporter
DBPAGJON_00042	742733.HMPREF9469_02650	2.4e-98	365.5	COG0583@1|root,COG0583@2|Bacteria,1UZ63@1239|Firmicutes,24BVU@186801|Clostridia,21Z1M@1506553|Lachnoclostridium	21Z1M@1506553|Lachnoclostridium	K	LysR substrate binding domain	24BVU@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00043	1235835.C814_02306	1.3e-235	822.0	COG4948@1|root,COG4948@2|Bacteria,1TUWS@1239|Firmicutes,249BH@186801|Clostridia	249BH@186801|Clostridia	M	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain	249BH@186801|Clostridia	M	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain	gudD	-	4.2.1.40	ko:K01706	ko00053,ko01100,map00053,map01100	-	R02752,R08056	RC00543	ko00000,ko00001,ko01000	-	-	-	MR_MLE_C
DBPAGJON_00044	457421.CBFG_00697	8e-75	287.3	COG0583@1|root,COG0583@2|Bacteria,1TQ6Y@1239|Firmicutes,25C75@186801|Clostridia	25C75@186801|Clostridia	K	LysR substrate binding domain	25C75@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00045	742733.HMPREF9469_04568	3.8e-207	727.6	COG0579@1|root,COG0579@2|Bacteria,1TRDH@1239|Firmicutes,248IK@186801|Clostridia,21ZTM@1506553|Lachnoclostridium	21ZTM@1506553|Lachnoclostridium	S	BFD-like [2Fe-2S] binding domain	248IK@186801|Clostridia	P	FAD dependent oxidoreductase	-	-	1.1.5.3	ko:K00111	ko00564,ko01110,map00564,map01110	-	R00848	RC00029	ko00000,ko00001,ko01000	-	-	-	Amino_oxidase,DAO,FAD_binding_3,Fer2_BFD,Mqo,NAD_binding_8,Pyr_redox_2
DBPAGJON_00046	742733.HMPREF9469_04567	2.8e-155	555.1	COG0446@1|root,COG0446@2|Bacteria,1TQH5@1239|Firmicutes,247YR@186801|Clostridia,21YEC@1506553|Lachnoclostridium	21YEC@1506553|Lachnoclostridium	C	NAD(P)-binding Rossmann-like domain	247YR@186801|Clostridia	C	pyridine nucleotide-disulfide oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	Amino_oxidase,DAO,FAD_binding_2,FAD_binding_3,FAD_oxidored,GIDA,HI0933_like,NAD_binding_8,Pyr_redox,Pyr_redox_2,Pyr_redox_3,Thi4
DBPAGJON_00047	1120746.CCNL01000017_gene2873	5.3e-30	137.1	COG3862@1|root,COG3862@2|Bacteria	COG3862@2|Bacteria	S	Protein of unknown function (DUF1667)	COG3862@2|Bacteria	S	Protein of unknown function (DUF1667)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1667
DBPAGJON_00048	1298920.KI911353_gene681	2.9e-83	315.5	COG0583@1|root,COG0583@2|Bacteria,1VRNB@1239|Firmicutes,24H9G@186801|Clostridia,223WT@1506553|Lachnoclostridium	223WT@1506553|Lachnoclostridium	K	LysR substrate binding domain	24H9G@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00049	742733.HMPREF9469_04194	1e-88	333.6	COG0583@1|root,COG0583@2|Bacteria,1UZ63@1239|Firmicutes,24BVU@186801|Clostridia,21Z1M@1506553|Lachnoclostridium	21Z1M@1506553|Lachnoclostridium	K	LysR substrate binding domain	24BVU@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00050	742735.HMPREF9467_03664	1.2e-196	692.6	COG2768@1|root,COG2768@2|Bacteria,1TPRV@1239|Firmicutes,247PJ@186801|Clostridia,21Z0M@1506553|Lachnoclostridium	21Z0M@1506553|Lachnoclostridium	C	Domain of unknown function (DUF2088)	247PJ@186801|Clostridia	C	Domain of unknown function (DUF2088)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2088,DUF362
DBPAGJON_00051	742735.HMPREF9467_03490	9.6e-234	815.8	COG4948@1|root,COG4948@2|Bacteria,1TUWS@1239|Firmicutes,24C3V@186801|Clostridia,21ZCG@1506553|Lachnoclostridium	21ZCG@1506553|Lachnoclostridium	M	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain	24C3V@186801|Clostridia	M	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	MR_MLE_C,MR_MLE_N
DBPAGJON_00052	742735.HMPREF9467_03489	2.9e-50	204.9	2EFUW@1|root,339M2@2|Bacteria,1VFXY@1239|Firmicutes,24NMR@186801|Clostridia	24NMR@186801|Clostridia	S	Tripartite tricarboxylate transporter TctB family	24NMR@186801|Clostridia	S	Tripartite tricarboxylate transporter TctB family	-	-	-	-	-	-	-	-	-	-	-	-	TctB
DBPAGJON_00053	689781.AUJX01000018_gene2427	9.8e-227	792.7	COG3333@1|root,COG3333@2|Bacteria,1TPE7@1239|Firmicutes,247UH@186801|Clostridia,2PTD9@265975|Oribacterium	2PTD9@265975|Oribacterium	S	Tripartite tricarboxylate transporter TctA family	247UH@186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	ko:K07793	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.80.1	-	-	TctA
DBPAGJON_00054	742735.HMPREF9467_03487	8.9e-134	483.4	COG3181@1|root,COG3181@2|Bacteria,1TSCN@1239|Firmicutes,24K7T@186801|Clostridia,220EZ@1506553|Lachnoclostridium	220EZ@1506553|Lachnoclostridium	S	Tripartite tricarboxylate transporter family receptor	24K7T@186801|Clostridia	S	Tripartite tricarboxylate transporter family receptor	-	-	-	-	-	-	-	-	-	-	-	-	SBP_bac_3,TctC
DBPAGJON_00055	86416.Clopa_0762	2.1e-30	139.8	COG0583@1|root,COG0583@2|Bacteria,1UYAI@1239|Firmicutes,24BA8@186801|Clostridia,36GHF@31979|Clostridiaceae	36GHF@31979|Clostridiaceae	K	Transcriptional regulator, LysR	24BA8@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00056	689781.AUJX01000030_gene75	6.9e-56	224.6	COG0583@1|root,COG0583@2|Bacteria,1UXP7@1239|Firmicutes,24ZN2@186801|Clostridia,2PT6D@265975|Oribacterium	2PT6D@265975|Oribacterium	K	LysR substrate binding domain	24ZN2@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00057	742733.HMPREF9469_01085	7.7e-90	337.8	COG1055@1|root,COG1055@2|Bacteria,1UKAR@1239|Firmicutes,25FT9@186801|Clostridia,2248Q@1506553|Lachnoclostridium	2248Q@1506553|Lachnoclostridium	P	Sodium:sulfate symporter transmembrane region	25FT9@186801|Clostridia	P	Citrate transporter	-	-	-	-	-	-	-	-	-	-	-	-	CitMHS,DctM,DcuC,Na_H_antiporter,Na_sulph_symp
DBPAGJON_00058	1408311.JNJM01000006_gene1465	6.2e-99	367.5	COG0657@1|root,COG0657@2|Bacteria,1UZJD@1239|Firmicutes,25BDE@186801|Clostridia,2PT5Y@265975|Oribacterium	2PT5Y@265975|Oribacterium	I	Prolyl oligopeptidase family	25BDE@186801|Clostridia	I	Carboxylesterase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_3,Abhydrolase_5,BAAT_C,COesterase,LIP,Peptidase_S15,Peptidase_S9
DBPAGJON_00059	1298920.KI911353_gene3040	7.8e-17	92.4	2EI8P@1|root,337JT@2|Bacteria,1VIYM@1239|Firmicutes,24SZJ@186801|Clostridia,223E7@1506553|Lachnoclostridium	223E7@1506553|Lachnoclostridium	-	-	24SZJ@186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DBPAGJON_00061	411902.CLOBOL_01500	1.9e-36	159.8	COG0583@1|root,COG0583@2|Bacteria,1TQ6Y@1239|Firmicutes,24KGS@186801|Clostridia,21ZT1@1506553|Lachnoclostridium	21ZT1@1506553|Lachnoclostridium	K	LysR substrate binding domain	24KGS@186801|Clostridia	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00062	742735.HMPREF9467_01917	2.7e-55	222.6	COG0583@1|root,COG0583@2|Bacteria,1UXP7@1239|Firmicutes,24ZN2@186801|Clostridia	24ZN2@186801|Clostridia	K	LysR substrate binding domain	24ZN2@186801|Clostridia	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
DBPAGJON_00063	689781.AUJX01000030_gene74	3.2e-126	458.4	COG3181@1|root,COG3181@2|Bacteria,1VUTK@1239|Firmicutes,25072@186801|Clostridia,2PRBB@265975|Oribacterium	2PRBB@265975|Oribacterium	S	Tripartite tricarboxylate transporter family receptor	25072@186801|Clostridia	S	Tripartite tricarboxylate transporter family receptor	-	-	-	-	-	-	-	-	-	-	-	-	TctC
DBPAGJON_00064	689781.AUJX01000030_gene73	2.3e-55	221.9	2F7K5@1|root,3400S@2|Bacteria,1VXTK@1239|Firmicutes,251YV@186801|Clostridia,2PSQV@265975|Oribacterium	2PSQV@265975|Oribacterium	S	Tripartite tricarboxylate transporter TctB family	251YV@186801|Clostridia	S	Tripartite tricarboxylate transporter TctB family	-	-	-	-	-	-	-	-	-	-	-	-	TctB
DBPAGJON_00065	689781.AUJX01000030_gene72	1.2e-195	689.5	COG3333@1|root,COG3333@2|Bacteria,1TPE7@1239|Firmicutes,247UH@186801|Clostridia,2PR51@265975|Oribacterium	2PR51@265975|Oribacterium	S	Tripartite tricarboxylate transporter TctA family	247UH@186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	TctA
DBPAGJON_00066	742735.HMPREF9467_01922	1.6e-123	449.1	COG0657@1|root,COG0657@2|Bacteria,1TQHX@1239|Firmicutes,249GM@186801|Clostridia,2231V@1506553|Lachnoclostridium	2231V@1506553|Lachnoclostridium	I	alpha/beta hydrolase fold	249GM@186801|Clostridia	I	Hydrolase, alpha beta domain protein	-	-	-	ko:K01066	-	-	-	-	ko00000,ko01000	-	-	-	Abhydrolase_3,Abhydrolase_5,COesterase,DUF2424,Peptidase_S9,Say1_Mug180
DBPAGJON_00067	573061.Clocel_4282	1e-25	123.2	2DMP1@1|root,32SS8@2|Bacteria,1VFZZ@1239|Firmicutes,24G0S@186801|Clostridia,36I58@31979|Clostridiaceae	36I58@31979|Clostridiaceae	S	Protein of unknown function (DUF3237)	24G0S@186801|Clostridia	S	Protein of unknown function (DUF3237)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3237
DBPAGJON_00068	689781.AUJX01000030_gene70	1.6e-115	422.5	COG0657@1|root,COG0657@2|Bacteria,1UZJD@1239|Firmicutes,25BDE@186801|Clostridia,2PT5Y@265975|Oribacterium	2PT5Y@265975|Oribacterium	I	Prolyl oligopeptidase family	25BDE@186801|Clostridia	I	Carboxylesterase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_3,Abhydrolase_5,BAAT_C,COesterase,LIP,Peptidase_S15,Peptidase_S9
